Date,Time,Likes,Shares,Comments
14/08/23,06:00 - 08:00,197,185,36
14/08/23,10:01 - 12:00,204,244,9
14/08/23,14:01 - 16:00,152,242,17
14/08/23,16:01 - 18:00,217,171,82
14/08/23,16:01 - 18:00,50,330,14
15/08/23,14:01 - 16:00,385,44,1
15/08/23,16:01 - 18:00,173,132,90
15/08/23,16:01 - 18:00,294,39,78
15/08/23,18:01 - 20:00,398,168,63
15/08/23,22:01 - 00:00,280,130,42
16/08/23,06:00 - 08:00,229,40,55
16/08/23,10:01 - 12:00,90,234,97
16/08/23,12:01 - 14:00,94,178,29
16/08/23,18:01 - 20:00,282,166,36
16/08/23,22:01 - 00:00,354,238,22
17/08/23,10:01 - 12:00,167,48,51
17/08/23,12:01 - 14:00,276,136,100
17/08/23,12:01 - 14:00,109,85,26
17/08/23,22:01 - 00:00,46,14,86
17/08/23,22:01 - 00:00,147,199,61
18/08/23,08:01 - 10:00,189,123,9
18/08/23,12:01 - 14:00,280,266,0
18/08/23,22:01 - 00:00,294,98,78
18/08/23,22:01 - 00:00,199,146,87
19/08/23,06:00 - 08:00,12,280,85
19/08/23,08:01 - 10:00,352,195,67
19/08/23,16:01 - 18:00,310,128,52
19/08/23,20:01 - 22:00,112,294,49
20/08/23,06:00 - 08:00,82,121,58
20/08/23,08:01 - 10:00,239,235,33
20/08/23,12:01 - 14:00,61,12,67
20/08/23,16:01 - 18:00,134,84,92
21/08/23,08:01 - 10:00,277,134,99
21/08/23,10:01 - 12:00,169,138,23
21/08/23,12:01 - 14:00,292,242,71
21/08/23,18:01 - 20:00,87,344,78
22/08/23,06:00 - 08:00,334,21,9
22/08/23,10:01 - 12:00,19,186,64
22/08/23,12:01 - 14:00,37,27,74
22/08/23,22:01 - 00:00,298,41,16
23/08/23,08:01 - 10:00,145,208,100
23/08/23,10:01 - 12:00,129,197,38
23/08/23,12:01 - 14:00,62,172,5
23/08/23,20:01 - 22:00,111,107,33
24/08/23,18:01 - 20:00,53,153,11
24/08/23,20:01 - 22:00,58,8,4
24/08/23,22:01 - 00:00,280,143,85
24/08/23,22:01 - 00:00,158,302,77
25/08/23,08:01 - 10:00,285,160,36
25/08/23,16:01 - 18:00,27,26,50
25/08/23,18:01 - 20:00,298,274,60
25/08/23,18:01 - 20:00,290,13,49
26/08/23,12:01 - 14:00,139,88,13
26/08/23,18:01 - 20:00,134,106,49
26/08/23,20:01 - 22:00,41,199,10
26/08/23,22:01 - 00:00,385,45,44
27/08/23,10:01 - 12:00,30,26,90
27/08/23,12:01 - 14:00,364,241,38
27/08/23,14:01 - 16:00,217,90,13
27/08/23,20:01 - 22:00,205,42,11
