Date,Gender,Athlete,Place,Prize Money,Event
03/01/2026,M,Diego Silva,Gold,9899,100m
03/01/2026,F,Aisha Khan,Gold,14129,200m
03/01/2026,M,Mateo García,Not Placed,0,400m
03/01/2026,F,Fatima Al-Mansouri,Silver,6900,5k
03/01/2026,F,Chen Wei,Silver,7568,10k
03/01/2026,M,Kwame Mensah,Gold,8673,Half Marathon
03/01/2026,F,Emily Connor,Gold,13480,Marathon
03/01/2026,F,Sofia Rossi,Bronze,1168,100m
03/01/2026,M,Lars Johansson,Bronze,972,200m
03/01/2026,M,Hiroshi Tanaka,Not Placed,0,400m
04/01/2026,M,Hiroshi Tanaka,Top 10,389,5k
04/01/2026,F,Chen Wei,Top 10,206,10k
04/01/2026,F,Emily Connor,Silver,1924,Half Marathon
04/01/2026,F,Sofia Rossi,Gold,12152,Marathon
04/01/2026,M,Lars Johansson,Not Placed,0,100m
04/01/2026,F,Fatima Al-Mansouri,Not Placed,0,200m
04/01/2026,M,Mateo García,Gold,6482,400m
04/01/2026,M,Diego Silva,Not Placed,0,5k
04/01/2026,M,Kwame Mensah,Bronze,987,10k
04/01/2026,F,Aisha Khan,Bronze,2597,Half Marathon
10/01/2026,M,Lars Johansson,Bronze,2213,Marathon
10/01/2026,F,Emily Connor,Not Placed,0,100m
10/01/2026,M,Diego Silva,Top 10,107,200m
10/01/2026,F,Aisha Khan,Bronze,2531,400m
10/01/2026,F,Sofia Rossi,Not Placed,0,5k
10/01/2026,F,Chen Wei,Not Placed,0,10k
10/01/2026,M,Kwame Mensah,Gold,13209,Half Marathon
10/01/2026,M,Mateo García,Silver,5944,Marathon
10/01/2026,M,Hiroshi Tanaka,Bronze,1181,100m
11/01/2026,M,Lars Johansson,Silver,2457,200m
11/01/2026,M,Diego Silva,Top 10,284,400m
11/01/2026,M,Kwame Mensah,Silver,6597,5k
11/01/2026,F,Chen Wei,Not Placed,0,10k
11/01/2026,M,Hiroshi Tanaka,Bronze,2471,Half Marathon
11/01/2026,F,Sofia Rossi,Silver,7985,Marathon
11/01/2026,F,Aisha Khan,Bronze,1314,100m
17/01/2026,M,Hiroshi Tanaka,Top 10,148,200m
17/01/2026,M,Mateo García,Not Placed,0,400m
17/01/2026,M,Lars Johansson,Gold,8837,5k
17/01/2026,F,Aisha Khan,Silver,3368,10k
17/01/2026,F,Fatima Al-Mansouri,Bronze,1971,Half Marathon
17/01/2026,F,Sofia Rossi,Top 10,282,Marathon
17/01/2026,F,Emily Connor,Gold,10334,100m
17/01/2026,F,Chen Wei,Silver,4655,200m
18/01/2026,F,Aisha Khan,Top 10,351,400m
18/01/2026,F,Fatima Al-Mansouri,Top 10,380,5k
18/01/2026,M,Hiroshi Tanaka,Silver,6322,10k
18/01/2026,M,Mateo García,Not Placed,0,Half Marathon
18/01/2026,F,Chen Wei,Top 10,224,Marathon
18/01/2026,F,Emily Connor,Not Placed,0,100m
18/01/2026,M,Lars Johansson,Top 10,485,200m
18/01/2026,M,Kwame Mensah,Top 10,204,400m
24/01/2026,F,Aisha Khan,Gold,10525,5k
24/01/2026,M,Diego Silva,Silver,7854,10k
24/01/2026,F,Sofia Rossi,Top 10,360,Half Marathon
24/01/2026,M,Mateo García,Not Placed,0,Marathon
24/01/2026,F,Chen Wei,Silver,5646,100m
24/01/2026,M,Hiroshi Tanaka,Silver,3737,200m
24/01/2026,M,Kwame Mensah,Silver,4409,400m
25/01/2026,M,Diego Silva,Not Placed,0,5k
25/01/2026,M,Lars Johansson,Silver,7998,10k
25/01/2026,F,Emily Connor,Gold,14537,Half Marathon
25/01/2026,M,Kwame Mensah,Top 10,470,Marathon
25/01/2026,F,Chen Wei,Not Placed,0,100m
31/01/2026,M,Hiroshi Tanaka,Top 10,442,200m
31/01/2026,M,Mateo García,Gold,8498,400m
31/01/2026,F,Emily Connor,Top 10,216,5k
31/01/2026,M,Lars Johansson,Silver,7461,10k
01/02/2026,M,Hiroshi Tanaka,Gold,6742,Half Marathon
01/02/2026,F,Sofia Rossi,Gold,13964,Marathon
01/02/2026,M,Lars Johansson,Top 10,345,100m
01/02/2026,M,Kwame Mensah,Top 10,277,200m
01/02/2026,M,Mateo García,Not Placed,0,400m
01/02/2026,F,Aisha Khan,Gold,10870,5k
07/02/2026,M,Mateo García,Silver,7230,10k
07/02/2026,M,Lars Johansson,Not Placed,0,Half Marathon
07/02/2026,F,Sofia Rossi,Not Placed,0,Marathon
07/02/2026,M,Kwame Mensah,Silver,6998,100m
07/02/2026,F,Emily Connor,Silver,5200,200m
07/02/2026,F,Aisha Khan,Silver,7433,400m
07/02/2026,M,Diego Silva,Gold,7305,5k
07/02/2026,F,Chen Wei,Gold,9897,10k
07/02/2026,F,Fatima Al-Mansouri,Top 10,421,Half Marathon
07/02/2026,M,Hiroshi Tanaka,Bronze,1459,Marathon
08/02/2026,M,Kwame Mensah,Bronze,1759,100m
08/02/2026,M,Hiroshi Tanaka,Top 10,455,200m
08/02/2026,M,Lars Johansson,Not Placed,0,400m
14/02/2026,F,Fatima Al-Mansouri,Top 10,409,5k
14/02/2026,M,Mateo García,Not Placed,0,10k
14/02/2026,M,Diego Silva,Gold,14656,Half Marathon
14/02/2026,F,Emily Connor,Silver,7283,Marathon
14/02/2026,F,Chen Wei,Not Placed,0,100m
